year notice was documented,notice_date,company,business_type,dislocation,classification
2017,12/21/2017,Eastman Kodak Company (Eastman Business Park),Photographic equipment and supplies,Economic,Plant Layoff
2017,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End,Plant Layoff
2017,6/28/2017,Courtyard by Marriott LaGuardia Hotel,Hotel,Economic,Plant Closing
2017,12/22/2017,"CareConnect Insurance Company, Inc.",Provide health insurance,Economic,Plant Closing
2017,9/13/2017,"Sykes Enterprises, Incorporated",Customer contact management solutions and services,Economic,Plant Layoff
2017,10/2/2017,Genesee Valley Group Health Association dba Lifetime Health Medical Group,Versatile primary care health practice,Economic,Plant Closing
2017,10/2/2017,Genesee Valley Group Health Association dba Lifetime Health Medical Group,Versatile primary care health practice,Economic,Plant Closing
2017,12/19/2017,AVX Corporation (Olean Advanced Products),Manufacturing ceramic capacitors,Economic,Plant Closing
2017,6/28/2017,Courtyard by Marriott LaGuardia Hotel,Hotel,Economic,Plant Closing
2017,6/22/2017,Sears Full Line Store (# 01103),Retail and Automotive Stores,Economic,Plant Closing
2017,6/22/2017,Sears Full Line Store (#01794),Retail and Automotive Stores,Economic,Plant Closing
2017,6/22/2017,Sears Full Line Store (#01784),Retail and Automotive Stores,Economic,Plant Closing
2017,12/18/2017,Xerox Corporation - Webster Parts Distribution Center,Photographic & Photocopying Equipment Manufacturer,Economic,Plant Unit Closing
2017,12/20/2017,"APTIM Services, LLC (@ Indian Point Energy Center)","Integrated maintenance services, environmental engineering and remediation",Operations,Plant Layoff
2017,12/15/2017,Lutheran Augustana Center for Extended Care & Rehabilitation (NYU Langone Health),Nursing Home,Economic,Plant Closing
2017,9/20/2017,Xerox Corporation,Photographic & Photocopying Equipment Manufacturer,Economic,Plant Unit Closing
2017,12/14/2017,"NIKE, Inc. (Niketown Midtown)",Retail Store,Economic,Plant Closing
2017,11/27/2017,"Middletown Community Health Care, Inc.",Non-profit federally qualified community health center,Economic,Plant Closing
2017,11/30/2017,"Hutchin Hill Capital, LP & Hutchin Hill Portfolio Management, LLC",Employee owned hedge fund sponsor,Economic,Plant Closing
2017,10/11/2017,The New York LaGuardia Airport Marriott,Hotel,Construction,Plant Closing
2017,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End,Plant Layoff
2017,9/29/2017,Lindy's Restaurant (52nd 8th Operating Inc.),Restaurant,Economic,Plant Closing
2017,12/5/2017,"Pfizer, Inc.",Pharmaceuticals (production),Economic,Plant Closing
