notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/21/2017,Plant Layoff,Eastman Kodak Company (Eastman Business Park),"1669 Lake Avenue Rochester, NY 14650",(585) 724-7080,Photographic equipment and supplies,2,-----,3/20/2018,Economic,The affected workers are not represented by a union.,Plant Layoff
9/11/2017,Plant Layoff,"DynaServ Industries, Inc.","5830 64th Street Maspeth, NY 11378",(718) 416-0252 Ext,Specialized Services,77,122,"All employee separations are expected to occur during the 14-day period starting on December 11, 2017.",Loss of client contract,IBEW Local 3,Plant Layoff
6/28/2017,Plant Closing,Courtyard by Marriott LaGuardia Hotel,"90-10 Grand Central Parkway East Elmhurst, NY  11368",(718) 308-4803,Hotel,140,140,"The closure of the hotel and permanent layoff of all employees is being extended from December 31, 2017 until on or about January 14, 2018.",Economic,"New York Hotel & Motel Trades Council, AFL-CIO",Plant Closing
12/22/2017,Plant Closing,"CareConnect Insurance Company, Inc.","2200 Northern Boulevard East Hills, NY 11548",(516) 405-7925,Provide health insurance,42,218,Phase II separations will begin on or about 1/19/2018.,Economic,The affected workers are not represented by a union.,Plant Closing
9/13/2017,Plant Layoff,"Sykes Enterprises, Incorporated","251 John James Audubon Pkwy Amherst, NY 14228",(701) 425-7794,Customer contact management solutions and services,36,131,Layoffs extended from 12/29/2017 to 3/31/2018.,Economic,The affected workers are not represented by a union.,Plant Layoff
10/2/2017,Plant Closing,Genesee Valley Group Health Association dba Lifetime Health Medical Group,"(Greece Health Center) 470 Long Pond Road Rochester, NY 14612",(701) 425-7794,Versatile primary care health practice,46,289,"12/31/2017 
(one separation extended to 3/31/2018)",Economic,The affected workers are not represented by a union.,Plant Closing
10/2/2017,Plant Closing,Genesee Valley Group Health Association dba Lifetime Health Medical Group,"(Amherst Health Center) 1185 Sweet Home Road Amherst, NY 14226",(701) 425-7794,Versatile primary care health practice,90,203,"12/31/2017 
(two separations extended to 3/2/2018; and two separations extended to 3/31/2018)",Economic,SEIU Local 200,Plant Closing
12/19/2017,Plant Closing,AVX Corporation (Olean Advanced Products),"1695 Seneca Avenue Olean, NY 14760",(864) 228-8990,Manufacturing ceramic capacitors,60,67,The employee separations are expected to occur in phases. This phase three of employee separations will occur on 3/30/2018.,Economic,"IBEW Local 1690, Office & Professional Employees International Union (OPEIU)",Plant Closing
6/28/2017,Plant Closing,Courtyard by Marriott LaGuardia Hotel,"90-10 Grand Central Parkway East Elmhurst, NY 11368",(718) 308-4803,Hotel,140,140,"The closure of the hotel and permanent layoff of all employees is being extended from December 3, 2017 until on or about December 31, 2017.",Economic,"New York Hotel & Motel Trades Council, AFL-CIO",Plant Closing
6/22/2017,Plant Closing,Sears Full Line Store (# 01103),"1425 Central Avenue  Albany, NY 12205",(706) 342-6970,Retail and Automotive Stores,120,120,"Employment separations expected to occur during a 14-day period beginning on September 17, 2017.",Economic,The affected workers are not represented by a union.,Plant Closing
