notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/24/2019,Plant Layoff,"Timeless Décor, LLC (LCO Destiny DBA Timeless Frames)","22419 Fisher Road  Watertown, NY 13601",(315) 782-5759,A supplier of Picture Frames,45,81,"The date of the first separation of employees was December 23, 2019.",Economic,The employees are not represented by a union.,Plant layoff
10/16/2019,Plant Closing,Barneys New York,"575 5th Avenue  New York, NY 10017",(212) 450-8606,Retail,165,165,"Employment terminations extended from December 15, 2019 (or a date within 14 days thereafter) to as early as December 31, 2019 (or a date within 14 days thereafter), January 15, 2020 (or a date within 14 days thereafter), February 1, 2020 (or a date within 14 days thereafter) for the employees located at 575 5th Avenue, New York, NY 10017 and as early as February 1, 2020 (or a date within 14 days thereafter) for the employees located at 660 Madison Avenue, New York, NY 10065; 101 7th Avenue, New York, NY 10011; and 240 Hudson Valley District, Suite 240, Central Valley, NY 10917.",Economic,New York New Jersey Regional Joint Board Workers United A/W SEIU,Plant Closing
9/18/2019,Plant Closing,"General Parts Distribution, LLC d/b/a Carquest Auto Parts","215 Business Park Drive  Armonk, NY 10504",(860) 375-1514,Auto parts distribution,80,80,"Of the 80 impacted employees, 43 employee separations have been extended from December 31, 2019 to March 31, 2020.",Economic,Teamsters Local 202,Plant Closing
10/7/2019,Plant Closing,"Somos Healthcare Providers, Inc.","519 Eighth Avenue, 14th Floor  New York, NY 10118",(516) 642-4068,Community care and advocate community provider,130,130,"Separations have been extended from January 5, 2020 or within the fourteen (14) day period commencing on this date to March 31, 2020 or within the fourteen (14) day period commencing on this date.",New York State contract expired,The employees are not represented by a union.,Plant Closing
12/20/2019,Plant Unit Closing,"Regeneron Healthcare Solutions, Inc., a wholly owned subsidiary of Regeneron Pharmaceuticals, Inc.","1 Rockwood Rd.  Sleepy Hollow, NY 10591",(914) 847-7128,Biotechnology company,15,-----,2/18/2020,Termination of all field and supporting staff associated with one of their products.,The employees are not represented by a union.,Plant Unit Closing
12/12/2019,Plant Closing,"Spacious Technologies LLC subsidiary of WeWork Companies, LLC","134 Fifth Avenue  New York, NY 10011",(646) 809-4474,Commercial real estate company,48,48,"March 11, 2020",Economic,The employees are not represented by a union.,Plant Closing
11/22/2019,Plant Layoff,"WeWork Companies, Inc."," 115 W 18th St.  New York, NY 10011",(646) 809-4474,Commercial real estate company,423,922,"Separations are expected to occur on February 21, 2020, March 2, 2020 and March 11, 2020. Of the total 922 employees, 262 will be offered transitional positions to one or more third party vendors.",Economic,The employees are not represented by a union.,Plant Layoff
12/17/2019,Plant Layoff,Eastman Kodak Company (Eastman Business Park),"1669 Lake Avenue  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,3,-----,"March 15, 2020",Economic,The employees are not represented by a union.,Plant Layoff
12/10/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,1,178,"March 8, 2020",Economic,The employee is not represented by a union.,Plant Layoff
12/12/2019,Plant Closing,"Eyeview, Inc.","33 East 33rd Street, 6th Floor  New York, NY 10016",(646) 714-1855,Video marketing technology company,61,61,12/31/2019,Economic,The employees are not represented by a union.,Plant Closing
